domain,seeds_n,mean_baseline_cer,std_baseline_cer,mean_plus_10k_cer,std_plus_10k_cer,mean_delta_cer,std_delta_cer,mean_relative_delta_cer,std_relative_delta_cer,improved_cer_seeds_n,worsened_cer_seeds_n,interpretation,mean_delta_wer,std_delta_wer,mean_delta_exact,std_delta_exact
cyrillic_handwriting,3,0.20364952282471188,0.01315262039928572,0.18947903516413112,0.003180177176886852,-0.014170487660580775,0.011246265181742666,-0.06751625040419458,0.04917574635077605,3,0,improves in all available seeds,-0.020576526622591906,0.02843047871914725,0.02068671358498611,0.02310656128092445
hkr_words,3,0.10108270968439335,0.009317710918923708,0.09198584293458545,0.004442746754008399,-0.00909686674980791,0.013163864801831368,-0.08300419041921482,0.11676160281869072,2,1,"mostly improves, but not fully seed-stable",-0.035874999999999935,0.04854982048828231,0.03933333333333333,0.05360581436125497
school,3,0.16375194504569485,0.006276267849225626,0.13677109695859674,0.0018910334977142985,-0.02698084808709809,0.007639220860227615,-0.1637635287137987,0.04042189561462474,3,0,improves in all available seeds,-0.05741666666666665,0.025447658700425327,0.05800000000000003,0.02324327859833897
school_notebooks_clean,3,0.16375194504569485,0.006276267849225626,0.13677109695859674,0.0018910334977142985,-0.02698084808709809,0.007639220860227615,-0.1637635287137987,0.04042189561462474,3,0,improves in all available seeds,-0.05741666666666665,0.025447658700425327,0.05800000000000003,0.02324327859833897
