seed,domain,n_baseline,n_plus_10k,baseline_cer,plus_10k_cer,delta_cer,relative_delta_cer,baseline_wer,plus_10k_wer,delta_wer,baseline_exact,plus_10k_exact,delta_exact
42,cyrillic_handwriting,1563.0,1563.0,0.19337058955001654,0.18580688289497263,-0.007563706655043911,-0.03911508297432951,0.6717317125186606,0.6629558541266795,-0.00877585839198114,0.2827895073576456,0.2891874600127959,0.006397952655150307
42,hkr_words,2000.0,2000.0,0.09517597620173109,0.09171769317284048,-0.0034582830288906047,-0.036335671740950364,0.4005,0.37983333333333336,-0.020666666666666667,0.499,0.5245,0.025499999999999967
42,school,2000.0,2000.0,0.15826159534909523,0.1389287726162724,-0.01933282273282283,-0.12215738562585743,0.501,0.47175,-0.029249999999999998,0.5065000000000001,0.539,0.03249999999999997
42,school_notebooks_clean,2000.0,2000.0,0.15826159534909523,0.1389287726162724,-0.01933282273282283,-0.12215738562585743,0.501,0.47175,-0.029249999999999998,0.5065000000000001,0.539,0.03249999999999997
43,cyrillic_handwriting,1563.0,1563.0,0.1991065790484034,0.19131471070206715,-0.007791868346336245,-0.039134158115599074,0.6599168266154831,0.6599701428876092,5.3316272126124886e-05,0.28150991682661547,0.28982725527831094,0.008317338451695466
43,hkr_words,2000.0,2000.0,0.09624809777640685,0.09655659117499311,0.0003084933985862681,0.003205189564399772,0.4060416666666667,0.4092916666666667,0.0032500000000000306,0.49549999999999994,0.4895,-0.00599999999999995
43,school,2000.0,2000.0,0.1624003427128424,0.13540185508935482,-0.026998487623487583,-0.1662464941421123,0.51125,0.447,-0.06424999999999997,0.4965,0.56,0.06350000000000006
43,school_notebooks_clean,2000.0,2000.0,0.1624003427128424,0.13540185508935482,-0.026998487623487583,-0.1662464941421123,0.51125,0.447,-0.06424999999999997,0.4965,0.56,0.06350000000000006
44,cyrillic_handwriting,1563.0,1563.0,0.21847139987571573,0.19131551189535356,-0.02715588798036217,-0.12429951012265515,0.7225634463638303,0.6695564086159096,-0.053007037747920704,0.23480486244401796,0.2821497120921305,0.04734484964811256
44,hkr_words,2000.0,2000.0,0.11182405507504213,0.08768324445592274,-0.024140810619119393,-0.21588208908109388,0.45683333333333315,0.366625,-0.09020833333333317,0.436,0.5345,0.09849999999999998
44,school,2000.0,2000.0,0.17059389707514688,0.13598266317016303,-0.03461123390498386,-0.20288670637342643,0.5275,0.44875,-0.07874999999999999,0.482,0.56,0.07800000000000007
44,school_notebooks_clean,2000.0,2000.0,0.17059389707514688,0.13598266317016303,-0.03461123390498386,-0.20288670637342643,0.5275,0.44875,-0.07874999999999999,0.482,0.56,0.07800000000000007
