model,seed,summary_path,n,cer,wer,exact,pred_len_mean,blank_logit_penalty,checkpoint_epoch,checkpoint_val_cer,cyrillic_handwriting_n,cyrillic_handwriting_cer,cyrillic_handwriting_wer,cyrillic_handwriting_exact,hkr_words_n,hkr_words_cer,hkr_words_wer,hkr_words_exact,school_notebooks_clean_n,school_notebooks_clean_cer,school_notebooks_clean_wer,school_notebooks_clean_exact,school_n,school_cer,school_wer,school_exact
baseline,42,outputs/htr_graph_v1/eval_tri10k_image_only_v1_test_final/summary.json,5563.0,0.1454455104383119,0.5128377973515494,0.44094912816825454,8.507280244472406,-0.4,72,0.10474548642413459,1563.0,0.19337058955001654,0.6717317125186606,0.2827895073576456,2000.0,0.09517597620173109,0.4005,0.499,2000.0,0.15826159534909523,0.501,0.5065000000000001,,,,
plus_10k,42,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_test_final/summary.json,5563.0,0.13512656651861718,0.4924261489603935,0.46359877763796514,8.587632572353048,-0.5417721518987342,73,0.09504758457064977,1563.0,0.18580688289497263,0.6629558541266795,0.2891874600127959,2000.0,0.09171769317284048,0.37983333333333336,0.5245,2000.0,0.1389287726162724,0.47175,0.539,,,,
baseline,43,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed43_test_final/summary.json,5563.0,0.14893051663331902,0.5151956378452873,0.4357361136077656,8.554197375516807,-0.8,74,0.10568203005705247,1563.0,0.1991065790484034,0.6599168266154831,0.28150991682661547,2000.0,0.09624809777640685,0.4060416666666667,0.49549999999999994,2000.0,0.1624003427128424,0.51125,0.4965,,,,
plus_10k,43,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json,5563.0,0.1371457460643587,0.49328000479357653,0.45874528132302717,8.493438792018695,-0.481012658227848,76,0.09833083475881693,1563.0,0.19131471070206715,0.6599701428876092,0.28982725527831094,2000.0,0.09655659117499311,0.4092916666666667,0.4895,2000.0,0.13540185508935482,0.447,0.56,,,,
baseline,44,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed44_test_final/summary.json,5563.0,0.16291689777208723,0.5568997543291994,0.3960093474743843,8.477260470968902,-0.4,68,0.11903821085295417,1563.0,0.21847139987571573,0.7225634463638303,0.23480486244401796,2000.0,0.11182405507504213,0.45683333333333315,0.436,2000.0,0.17059389707514688,0.5275,0.482,,,,
plus_10k,44,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json,5563.0,0.13416465222804377,0.48126310743603556,0.47276649289951467,8.544670142009707,-0.4,79,0.09655605299170521,1563.0,0.19131551189535356,0.6695564086159096,0.2821497120921305,2000.0,0.08768324445592274,0.366625,0.5345,2000.0,0.13598266317016303,0.44875,0.56,,,,
