model,seeds_n,mean_cer,std_cer,mean_wer,std_wer,mean_exact,std_exact,cyrillic_handwriting_mean_cer,cyrillic_handwriting_std_cer,hkr_words_mean_cer,hkr_words_std_cer,school_notebooks_clean_mean_cer,school_notebooks_clean_std_cer,school_mean_cer,school_std_cer
baseline,3,0.15243097494790606,0.009246742677874327,0.5283110631753454,0.024786585068667977,0.42423152975013484,0.02457971845864455,0.20364952282471188,0.01315262039928572,0.10108270968439335,0.009317710918923708,0.16375194504569485,0.006276267849225626,,
plus_10k,3,0.13547898827033988,0.0015214732773020307,0.48898975373000186,0.006705077528262633,0.465036850620169,0.0071203675428144365,0.18947903516413112,0.003180177176886852,0.09198584293458545,0.004442746754008399,0.13677109695859674,0.0018910334977142985,,
