model,risk_method,scope,bin_low,bin_high,n,mean_risk,error_rate
plus_5k_context,feature_only,school,0.2,0.3,363,0.26619888902621097,0.3333333333333333
plus_5k_context,feature_only,school,0.3,0.4,840,0.35174360556155937,0.4083333333333333
plus_5k_context,feature_only,school,0.4,0.5,570,0.44398756914734605,0.5385964912280702
plus_5k_context,feature_only,school,0.5,0.6,167,0.5412150332268968,0.6227544910179641
plus_5k_context,feature_only,school,0.6,0.7,43,0.6338291189770825,0.7674418604651163
plus_5k_context,feature_only,school,0.7,0.8,4,0.7137418236300915,1.0
plus_5k_context,feature_only,school,0.8,0.9,0,,
plus_5k_context,feature_only,school,0.9,1.0,0,,
plus_5k_context,model_confidence,all,0.0,0.1,6,0.08038585967872468,0.0
plus_5k_context,model_confidence,all,0.1,0.2,211,0.1694872331889253,0.13270142180094788
plus_5k_context,model_confidence,all,0.2,0.3,926,0.25592657873452174,0.20626349892008639
plus_5k_context,model_confidence,all,0.3,0.4,944,0.3469327271264456,0.3230932203389831
plus_5k_context,model_confidence,all,0.4,0.5,791,0.44889831255910895,0.515802781289507
plus_5k_context,model_confidence,all,0.5,0.6,603,0.5468151175925232,0.6019900497512438
plus_5k_context,model_confidence,all,0.6,0.7,544,0.6488469923122007,0.6911764705882353
plus_5k_context,model_confidence,all,0.7,0.8,463,0.7492676993017007,0.7991360691144709
plus_5k_context,model_confidence,all,0.8,0.9,422,0.8472662868383635,0.8578199052132701
plus_5k_context,model_confidence,all,0.9,1.0,653,0.9627689534119994,0.9157733537519143
plus_5k_context,model_confidence,school,0.0,0.1,6,0.08038585967872468,0.0
plus_5k_context,model_confidence,school,0.1,0.2,107,0.16478696228979858,0.1308411214953271
plus_5k_context,model_confidence,school,0.2,0.3,356,0.25411581300070135,0.15168539325842698
plus_5k_context,model_confidence,school,0.3,0.4,329,0.34661244759047194,0.2188449848024316
plus_5k_context,model_confidence,school,0.4,0.5,238,0.4497841109132636,0.38235294117647056
plus_5k_context,model_confidence,school,0.5,0.6,175,0.5487422497107387,0.45714285714285713
plus_5k_context,model_confidence,school,0.6,0.7,168,0.6484876256545146,0.5833333333333334
plus_5k_context,model_confidence,school,0.7,0.8,148,0.7512408098805498,0.6554054054054054
plus_5k_context,model_confidence,school,0.8,0.9,131,0.8462152553524099,0.8015267175572519
plus_5k_context,model_confidence,school,0.9,1.0,342,0.9695811579631857,0.8888888888888888
plus_5k_context,confidence_graph,all,0.0,0.1,149,0.07279127879960455,0.10738255033557047
plus_5k_context,confidence_graph,all,0.1,0.2,516,0.15335833673553248,0.14922480620155038
plus_5k_context,confidence_graph,all,0.2,0.3,586,0.25070419563127494,0.23378839590443687
plus_5k_context,confidence_graph,all,0.3,0.4,663,0.35113296472768796,0.32428355957767724
plus_5k_context,confidence_graph,all,0.4,0.5,676,0.4487133507696531,0.46005917159763315
plus_5k_context,confidence_graph,all,0.5,0.6,617,0.5484632291953586,0.5316045380875203
plus_5k_context,confidence_graph,all,0.6,0.7,589,0.6480960088373396,0.6179966044142614
plus_5k_context,confidence_graph,all,0.7,0.8,535,0.7499844395040888,0.794392523364486
plus_5k_context,confidence_graph,all,0.8,0.9,538,0.850326219471477,0.8828996282527881
plus_5k_context,confidence_graph,all,0.9,1.0,694,0.9609227948853263,0.9409221902017291
plus_5k_context,confidence_graph,school,0.0,0.1,137,0.07236909669288145,0.0948905109489051
plus_5k_context,confidence_graph,school,0.1,0.2,365,0.15063663745182004,0.15616438356164383
plus_5k_context,confidence_graph,school,0.2,0.3,295,0.24898122314033594,0.22372881355932203
plus_5k_context,confidence_graph,school,0.3,0.4,240,0.349330821248623,0.3458333333333333
plus_5k_context,confidence_graph,school,0.4,0.5,188,0.443813678229456,0.4734042553191489
plus_5k_context,confidence_graph,school,0.5,0.6,133,0.5487086712961963,0.6090225563909775
plus_5k_context,confidence_graph,school,0.6,0.7,128,0.6510567882546547,0.609375
plus_5k_context,confidence_graph,school,0.7,0.8,100,0.7521017983577873,0.8
plus_5k_context,confidence_graph,school,0.8,0.9,133,0.848850669722693,0.8195488721804511
plus_5k_context,confidence_graph,school,0.9,1.0,281,0.9721594228291283,0.9217081850533808
plus_10k_context,feature_only,all,0.0,0.1,0,,
plus_10k_context,feature_only,all,0.1,0.2,19,0.1893415032183509,0.2631578947368421
plus_10k_context,feature_only,all,0.2,0.3,365,0.26726561838449153,0.32602739726027397
plus_10k_context,feature_only,all,0.3,0.4,1016,0.3552779510663163,0.453740157480315
plus_10k_context,feature_only,all,0.4,0.5,1461,0.4496930713296796,0.5386721423682409
plus_10k_context,feature_only,all,0.5,0.6,1534,0.5490213658825503,0.5280312907431551
plus_10k_context,feature_only,all,0.6,0.7,956,0.6411745477655455,0.6642259414225942
plus_10k_context,feature_only,all,0.7,0.8,191,0.7333243266875932,0.7643979057591623
plus_10k_context,feature_only,all,0.8,0.9,21,0.8219529567065436,1.0
plus_10k_context,feature_only,all,0.9,1.0,0,,
plus_10k_context,feature_only,school,0.0,0.1,0,,
plus_10k_context,feature_only,school,0.1,0.2,19,0.1893415032183509,0.2631578947368421
plus_10k_context,feature_only,school,0.2,0.3,356,0.2672551504739585,0.32303370786516855
plus_10k_context,feature_only,school,0.3,0.4,808,0.35222809312509035,0.4430693069306931
plus_10k_context,feature_only,school,0.4,0.5,632,0.44280280153226004,0.5411392405063291
plus_10k_context,feature_only,school,0.5,0.6,157,0.5395321567625323,0.5222929936305732
plus_10k_context,feature_only,school,0.6,0.7,27,0.6385326913625562,0.7037037037037037
