pilot_id,sample_id,dataset,level,method,is_primary_variant,is_page_stress_dataset,image_width,image_height,image_area,foreground_ratio,skeleton_pixels,skeleton_density,node_count,edge_count,component_count,junction_count,endpoint_count,short_branch_count,loop_candidate_count,nodes_per_1k_skeleton,edges_per_1k_skeleton,components_per_1k_skeleton,junctions_per_1k_skeleton,endpoints_per_1k_skeleton,short_branches_per_1k_skeleton,junction_endpoint_ratio,edge_node_ratio,component_node_ratio,mean_width_proxy,warning_count,warning_risk_score,graph_path,overlay_path,warnings
pilot2_school_pupil_text_0010,school_notebooks_train_0217488,school_notebooks,word,otsu,False,False,108,103,11124,0.43734268248831354,261,0.023462783171521034,11,17,2,8,3,1,0,42.1455938697318,65.13409961685824,7.662835249042145,30.65134099616858,11.494252873563218,3.8314176245210727,2.6666666666666665,1.5454545454545454,0.18181818181818182,13.024003147144725,0,0.0,outputs/graph_pilot_v2/school_notebooks/pilot2_school_pupil_text_0010/graph_otsu.json,outputs/graph_pilot_v2/school_notebooks/pilot2_school_pupil_text_0010/graph_overlay_otsu.png,
pilot2_school_pupil_text_0010,school_notebooks_train_0217488,school_notebooks,word,sauvola,True,False,108,103,11124,0.22015462064005753,473,0.04252067601582165,29,35,4,17,12,8,0,61.3107822410148,73.99577167019028,8.456659619450317,35.940803382663844,25.36997885835095,16.913319238900634,1.4166666666666667,1.206896551724138,0.13793103448275862,4.366398109680498,0,0.0,outputs/graph_pilot_v2/school_notebooks/pilot2_school_pupil_text_0010/graph_sauvola.json,outputs/graph_pilot_v2/school_notebooks/pilot2_school_pupil_text_0010/graph_overlay_sauvola.png,
pilot2_hwr200_0001,hwr200_document_condition_004393,hwr200,page_from_document_condition,otsu,False,True,1368,1629,2228472,0.1105474962216263,95021,0.042639530584185036,10664,9979,4447,3018,7646,2416,0,112.22782332326538,105.01889056103387,46.80018101261826,31.761400111554288,80.46642321171109,25.425958472337694,0.39471619147266546,0.9357651912978244,0.4170105026256564,2.740512569453613,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0001/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0001/graph_overlay_otsu.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0001,hwr200_document_condition_004393,hwr200,page_from_document_condition,otsu_gridless,True,True,1368,1629,2228472,0.10615345402589757,95438,0.04282665431739775,11336,10202,4969,2864,8472,2500,0,118.77868354324274,106.89662398625285,52.06521511347681,30.00901108573105,88.76967245751169,26.195016660030596,0.3380547686496695,0.8999647141848977,0.43833803810868033,2.6452512464610973,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0001/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0001/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0002,hwr200_document_condition_004394,hwr200,page_from_document_condition,otsu,False,True,1440,1920,2764800,0.19868561921296296,107888,0.03902199074074074,11989,10554,3768,3642,8347,2519,2,111.1244994809432,97.82366899006377,34.9251075189085,33.75722971970933,77.36726976123387,23.348287112561174,0.4363244279381814,0.8803069480356994,0.3142880974226374,4.43356874972935,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0002/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0002/graph_overlay_otsu.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0002,hwr200_document_condition_004394,hwr200,page_from_document_condition,otsu_gridless,True,True,1440,1920,2764800,0.10226996527777778,102019,0.03689923321759259,12845,10665,4519,3271,9574,2654,2,125.90791911310639,104.53935051313971,44.29567041433459,32.06265499563807,93.84526411746832,26.014761956106216,0.3416544808857322,0.8302841572596341,0.3518100428182172,2.9047793525375387,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0002/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0002/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0003,hwr200_document_condition_004395,hwr200,page_from_document_condition,otsu,False,True,1440,1920,2764800,0.4777199074074074,163089,0.058987630208333336,14161,18208,2716,8353,5808,3441,1,86.82989042792586,111.64456217157503,16.653483680689686,51.21743342592082,35.61245700200504,21.098909184555673,1.4381887052341598,1.2857849021961727,0.19179436480474543,10.094227140824682,4,73.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0003/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0003/graph_overlay_otsu.png,hwr200_page|too_high_foreground_ratio|too_many_components|too_many_junctions
pilot2_hwr200_0003,hwr200_document_condition_004395,hwr200,page_from_document_condition,otsu_gridless,True,True,1440,1920,2764800,0.09178168402777778,79479,0.028746744791666667,16989,13437,8981,2205,14784,4041,14,213.75457668063262,169.06352621447175,112.9984020936348,27.743177443098176,186.01139923753445,50.84361906918809,0.14914772727272727,0.7909235387603744,0.5286361763494025,3.0950510181916244,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0003/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0003/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
pilot2_hwr200_0004,hwr200_document_condition_006550,hwr200,page_from_document_condition,otsu,False,True,1858,2400,4459200,0.0987152404018658,103316,0.023169178327951203,6570,6727,630,3317,3253,731,0,63.59131209106044,65.11092183204924,6.097797049827713,32.10538541948972,31.485926671570716,7.075380386387394,1.0196741469412849,1.023896499238965,0.0958904109589041,4.243254334645202,4,60.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0004/graph_otsu.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0004/graph_overlay_otsu.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions
pilot2_hwr200_0004,hwr200_document_condition_006550,hwr200,page_from_document_condition,otsu_gridless,True,True,1858,2400,4459200,0.09726991388589881,102760,0.02304449228561177,6872,6873,803,3303,3569,768,0,66.87427014402492,66.88400155702608,7.814324639937719,32.142857142857146,34.731413001167766,7.473725184896847,0.9254693191370131,1.0001455180442376,0.11685098952270082,4.188423571551224,4,60.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0004/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0004/graph_overlay_otsu_gridless.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions
