model,penalty,cer,wer,exact
m0_ft,-0.8,0.07979243758240824,0.3323977546110666,0.6268333333333334
m0_ft,-0.6,0.07977117094126154,0.33279871692060947,0.6265
m0_ft,-0.5,0.07955850452979456,0.3319967923015237,0.6273333333333333
m0_ft,-0.4,0.07953723788864786,0.3323977546110666,0.6268333333333334
m0_ft,-0.3,0.07955850452979456,0.3325314087142475,0.6268333333333334
m0_ft,-0.2,0.07960103781208795,0.33279871692060947,0.6263333333333333
m0_ft,0.0,0.07968610437667475,0.3337342956428762,0.6255
m3,-0.8,0.08221683467313172,0.33694199411921943,0.6211666666666666
m3,-0.6,0.08230190123771851,0.3372093023255814,0.6208333333333333
m3,-0.5,0.08215303474969163,0.33694199411921943,0.621
m3,-0.4,0.08219556803198502,0.33747661053194333,0.6206666666666667
m3,-0.3,0.08217430139083833,0.3382785351510291,0.6203333333333333
m3,-0.2,0.08223810131427842,0.3385458433573911,0.6201666666666666
m3,0.0,0.0823231678788652,0.338813151563753,0.6196666666666667
